REF_DATE,Employment characteristics,UOM,VALUE,city
2024,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",Persons in thousands,52.5,Calgary
2024,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",Persons in thousands,26.0,Edmonton
2024,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",Persons in thousands,1.6,Montréal
2024,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",Persons in thousands,2.1,Ottawa
2024,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",Persons in thousands,6.1,Toronto
2024,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",Persons in thousands,8.1,Vancouver Island and Coast
2024,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",Persons in thousands,,Winnipeg
